countrycode,country,rgdpo,pop,emp,hc,ccon,pcgdp
GHA,Ghana,152166.71875,29.767102,12.9314756393433,2.49568748474121,142151.015625,5111.90907163217
GIN,Guinea,27591.53515625,12.414293,4.51553535461426,,28729.458984375,2222.56194180772
GMB,Gambia,5430.74609375,2.280094,0.665375590324402,1.64727485179901,4855.54736328125,2381.80798412258
GNB,Guinea-Bissau,3420.62841796875,1.874303,0.758365333080292,,3559.21435546875,1825.01357462948
GNQ,Equatorial Guinea,34979.14453125,1.308975,0.475940853357315,,26925.3984375,26722.5459090128
GRC,Greece,279920.59375,10.522246,4.16140508651733,3.11320781707764,255662.25,26602.7418243215
GRD,Grenada,1666.1142578125,0.111454,0.0632840394973755,,1446.35656738281,14948.8960271726
GTM,Guatemala,131288.015625,17.247849,6.88592004776001,1.93199682235718,126897.1171875,7611.84862094978
GUY,Guyana,9676.1220703125,0.779006,0.25457376241684,2.69103598594666,9317.6787109375,12421.1136631971
HKG,"China, Hong Kong SAR",409711.03125,7.37173,3.87370657920837,3.25339078903198,348687.9375,55578.6811576116
HND,Honduras,51387.75,9.587522,3.91879963874817,2.39308500289917,46740.43359375,5359.85732288281
HRV,Croatia,104344.6328125,4.156405,1.79193985462189,3.5706033706665,82407.4296875,25104.5393344729
HTI,Haiti,17576.51171875,11.123178,4.45044040679932,1.71569538116455,19436.640625,1580.16995850916
HUN,Hungary,270981.65625,9.707499,4.63505029678345,3.40100622177124,216455.71875,27914.6725897165
IDN,Indonesia,3010715.75,267.670543,127.067832946777,2.30210971832275,1955347.625,11247.8411567312
IND,India,8899718,1352.64228,491.077209472656,2.14736175537109,6325873,6579.50600213384
IRL,Ireland,441620.21875,4.81869,2.19354510307312,3.16806674003601,143776.84375,91647.3603302972
IRN,Iran (Islamic Republic of),1078852,81.800188,24.2967281341553,2.47035622596741,672888.4375,13188.8694436741
IRQ,Iraq,446474,38.4336,8.49299240112305,2.27583694458008,296246.75,11616.7624162191
ISL,Iceland,16951.724609375,0.336713,0.194250300526619,3.25477123260498,13944.3037109375,50344.7286246002
ISR,Israel,320538.5625,8.381516,4.15644454956055,3.84882855415344,260160.515625,38243.5066042945
ITA,Italy,2458235.75,60.627291,25.4179077148438,3.13999652862549,1802956,40546.6863099656
JAM,Jamaica,24710.3203125,2.934847,1.21510004997253,2.59433317184448,25060.9296875,8419.62811434463
JOR,Jordan,108072.53125,9.965318,2.4003746509552,2.88836050033569,96671.65625,10844.8652867876
JPN,Japan,5005677,127.202192,69.3646087646484,3.58311605453491,3736045,39352.1284601762
KAZ,Kazakhstan,485990.4375,18.319618,8.69320392608643,3.1228404045105,352420.1875,26528.4154669601
KEN,Kenya,212139.75,51.392565,24.2133045196533,2.32589602470398,202628.921875,4127.82958001804
KGZ,Kyrgyzstan,39750.8359375,6.30403,2.62620520591736,3.50086832046509,36585.98828125,6305.62290114419
KHM,Cambodia,69345.9375,16.249792,8.58510112762451,1.93221628665924,51192.98046875,4267.49693165303
KNA,Saint Kitts and Nevis,1175.56237792969,0.052441,,,1226.92175292969,22416.8566184796
KOR,Republic of Korea,2118144.75,51.171706,26.581413269043,3.72946310043335,1274850.125,41392.8890703781
KWT,Kuwait,266071.3125,4.137312,2.33421754837036,2.25771689414978,143307.5,64310.1879916236
LAO,Lao People's DR,51662.921875,7.061507,3.54568958282471,1.92690312862396,42451.8125,7316.13264349947
LBN,Lebanon,106750.265625,6.859408,1.99228239059448,,100746.7265625,15562.6062227236
LBR,Liberia,7667.07470703125,4.818973,1.8588547706604,1.82447791099548,6627.65869140625,1591.0183989475
LCA,Saint Lucia,2553.20483398438,0.181889,0.0816000029444695,,2166.611328125,14037.1591134394
LKA,Sri Lanka,275685.15625,21.228763,8.01500034332275,2.86095976829529,218289.578125,12986.397570598
LSO,Lesotho,5654.96484375,2.108328,0.654092609882355,1.72921967506409,6905.77880859375,2682.20354885483
LTU,Lithuania,86619.15625,2.801264,1.38158440589905,3.27962493896484,78536.4765625,30921.4541185693
LUX,Luxembourg,53538.56640625,0.604245,0.444745570421219,3.56519508361816,26825.990234375,88604.0702136551
LVA,Latvia,54939.5859375,1.928459,0.900681853294373,3.14169025421143,44404.4453125,28488.8535029783
MAC,"China, Macao SAR",62839.70703125,0.631636,0.385500013828278,2.91192507743835,23209.208984375,99487.215787653
MAR,Morocco,279320.125,36.029093,11.3725824356079,1.91424775123596,201184.34375,7752.62716161076
MDA,Republic of Moldova,37489.21484375,4.051944,1.4689804315567,3.51418447494507,38429.140625,9252.15522320891
MDG,Madagascar,40550.671875,26.262313,13.4797639846802,1.71317684650421,37368.8984375,1544.06323140692
MDV,Maldives,9449.6494140625,0.515696,0.181537061929703,2.48931241035461,5697.9970703125,18324.0696341692
MEX,Mexico,2422897,126.190788,53.7211952209473,2.75670194625855,1971899,19200.2684062802
MKD,North Macedonia,31748.220703125,2.082957,0.818367898464203,,28335.919921875,15241.8992341777
MLI,Mali,45292.16015625,19.077749,5.94890022277832,1.36189782619476,41619.171875,2374.08303024901
MLT,Malta,16995.53125,0.439248,0.212430462241173,3.1442232131958,12564.9794921875,38692.3361062543
MMR,Myanmar,264231.875,53.70832,22.6158046722412,1.83027982711792,196148.15625,4919.75684586671
MNE,Montenegro,12771.2001953125,0.627809,0.237399995326996,,11450.9228515625,20342.4930119073
MNG,Mongolia,34158.23828125,3.170216,1.36005055904388,3.02342367172241,27115.4921875,10774.7353118053
MOZ,Mozambique,36564.5234375,29.496004,10.6671142578125,1.2230726480484,32773.1328125,1239.64328990124
MRT,Mauritania,20808.1796875,4.403313,1.09561729431152,1.8060290813446,15718.9609375,4725.5736050333
MSR,Montserrat,73.7975540161133,0.004993,0.00253864144906402,,134.056640625,14780.2030875452
MUS,Mauritius,28707.119140625,1.267185,0.574989914894104,2.61766529083252,27021.833984375,22654.2447556
MWI,Malawi,20597.8515625,18.143217,7.6772346496582,1.99782192707062,19942.287109375,1135.29213493395
MYS,Malaysia,785834.625,31.528033,14.8138608932495,3.05628776550293,591666.9375,24924.9493300137
NAM,Namibia,23193.3984375,2.448301,0.725703954696655,2.23816776275635,24308.224609375,9473.26265745103
NER,Niger,26680.908203125,22.442822,8.53264904022217,1.21844410896301,23533.54296875,1188.83927356038
NGA,Nigeria,1014140.9375,195.874683,71.1151733398438,1.94907462596893,937782.8125,5177.4988067243
NIC,Nicaragua,33831.7265625,6.465501,2.65906572341919,2.26375198364258,31437.482421875,5232.65351942564
NLD,Netherlands,936939.1875,17.05956,9.30217838287354,3.38264727592468,596217.5,54921.6502359967
NOR,Norway,401659.84375,5.337962,2.80533766746521,3.6529757976532,213080.375,75245.9166532096
NPL,Nepal,97406.9765625,28.095714,15.1800336837769,1.79661571979523,78249.265625,3466.96925240982
NZL,New Zealand,190333.375,4.743131,2.51875948905945,3.38377642631531,151614.171875,40128.2138317495
OMN,Oman,155122.25,4.829473,2.68339705467224,,90544.9296875,32119.9124624985
PAK,Pakistan,1052082.75,212.228286,61.7038307189942,1.77277934551239,977325.5,4957.31634000946
PAN,Panama,124973.3359375,4.176869,1.86749994754791,2.87267804145813,83402.140625,29920.3388800319
PER,Peru,388933.59375,31.98926,16.6499004364014,2.82068347930908,305621.59375,12158.2554191626
PHL,Philippines,877652.25,106.651394,41.153003692627,2.70087862014771,760558.0625,8229.16810632592
POL,Poland,1157452.5,37.921592,16.2116622924805,3.43075108528137,930723.375,30522.2549728398
PRT,Portugal,317162.25,10.256193,4.93115472793579,2.49544858932495,260393.25,30923.9744220882
PRY,Paraguay,86097.40625,6.956066,3.30691838264465,2.63056206703186,69394.4375,12377.3130171565
PSE,State of Palestine,31993.087890625,4.862979,0.952136099338531,,33143.5234375,6578.90726869785
QAT,Qatar,324852.0625,2.781682,2.0452082157135,3.17323040962219,85017.5859375,116782.602216932
ROU,Romania,516810.5,19.506114,8.68850040435791,3.25331354141235,427391.71875,26494.7954267057
RUS,Russian Federation,4131929.25,145.734038,72.1640853881836,3.41864514350891,3090747,28352.5338809318
RWA,Rwanda,26958.83203125,12.30197,5.16152286529541,1.87717545032501,24794.068359375,2191.42397772471
SAU,Saudi Arabia,1732983.375,33.702756,13.3782386779785,2.6906533241272,1066180,51419.6339017498
SDN,Sudan,179207.6875,41.801533,10.0248336791992,1.60141456127167,170247.375,4287.10802304786
SEN,Senegal,50598.65625,15.854323,5.95509576797485,1.59844470024109,44552.1640625,3191.47378604561
SGP,Singapore,476500.75,5.757499,3.71476626396179,4.15445375442505,221644.65625,82761.7599238836
SLE,Sierra Leone,15149.11328125,7.65015,2.47238802909851,1.6291264295578,16271.048828125,1980.23741773037
SLV,El Salvador,51288.87109375,6.420746,2.91060185432434,2.27278709411621,52137.734375,7987.99253135851
SRB,Serbia,116050.5078125,7.018844,2.83371019363403,3.43187618255615,104750.7734375,16534.1340842595
STP,Sao Tome and Principe,800.439697265625,0.211028,0.0634461417794228,,803.635192871094,3793.04972451819
SUR,Suriname,8213.939453125,0.57599,0.219252645969391,,4898.53759765625,14260.5591297158
SVK,Slovakia,146127.890625,5.453014,2.43950939178467,3.82120704650879,127405.6015625,26797.6371645112
SVN,Slovenia,69825.75,2.077837,1.02623057365417,3.55342221260071,53151.57421875,33605.01810296
SWE,Sweden,516270.25,9.971638,4.99561405181885,3.42593097686768,381317,51773.8660388594
SWZ,Eswatini,9804.4208984375,1.136281,0.305421501398087,2.09102296829224,9210.8310546875,8628.51785644352
SXM,Sint Maarten (Dutch part),1123.29370117188,0.04194,,,1194.99865722656,26783.3500517853
SYC,Seychelles,2449.03271484375,0.097096,0.0520401149988174,,2442.9384765625,25222.7971785012
SYR,Syrian Arab Republic,116457.6015625,16.945057,4.72071504592896,2.59381318092346,83530.046875,6872.659180934
TCA,Turks and Caicos Islands,566.74951171875,0.037665,,,637.89794921875,15047.113015233
TCD,Chad,25087.8359375,15.477729,5.76620244979858,,21692.521484375,1620.89903095603
TGO,Togo,16947.33984375,7.889093,3.08190393447876,1.79449903964996,15917.572265625,2148.19876552983
THA,Thailand,1175339.75,69.428453,37.7916793823242,2.77352070808411,821559.625,16928.7907077521
TJK,Tajikistan,34027.296875,9.100835,2.60101795196533,3.04147958755493,31820.60546875,3738.92031610286
TKM,Turkmenistan,150273.78125,5.850901,3.17825078964233,,66811.8203125,25683.870099665
TTO,Trinidad and Tobago,38291.8359375,1.389843,0.615504264831543,3.07657313346863,30411.494140625,27551.1953058727
TUN,Tunisia,127727.5546875,11.565201,3.64583444595337,2.65475988388062,124153.21875,11044.1275242428
TUR,Turkey,2264386.75,82.340088,28.7409992218018,2.47905468940735,1517762.125,27500.4169293577
TWN,Taiwan,1075540,23.58008,11.4350004196167,3.32381677627564,785960,45612.2286268749
TZA,U.R. of Tanzania: Mainland,126885.109375,54.733589,22.9112396240234,1.70375418663025,104791.9453125,2318.2311208388
UGA,Uganda,85139.546875,42.729036,14.8355283737183,2.38032293319702,79160.421875,1992.54546428335
UKR,Ukraine,561325.125,44.246156,16.3806667327881,3.28103017807007,521935.71875,12686.4156289645
URY,Uruguay,70566.3828125,3.449285,1.62894630432129,2.75375962257385,60088.98046875,20458.2639046933
USA,United States,20155260,327.096265,156.675903320313,3.74402379989624,16434557,61618.7408926849
UZB,Uzbekistan,398269.96875,32.476244,14.3574352264404,,322672.71875,12263.4245742827
VCT,St. Vincent and the Grenadines,1216.50927734375,0.110211,0.0401567779481411,,1347.42980957031,11038.0023531567
VEN,Venezuela (Bolivarian Republic of),10912.2373046875,28.887118,12.0869102478027,2.8578462600708,14068.88671875,377.754447663748
VGB,British Virgin Islands,1093.55041503906,0.029802,0.0138577232137322,,480.509216308594,36693.8599771513
VNM,Viet Nam,689643.4375,95.545962,54.0691032409668,2.81621026992798,543525.25,7217.92342726111
YEM,Yemen,50024.23046875,28.498683,5.37051868438721,1.78661465644836,45423.765625,1755.31727093319
ZAF,South Africa,732308.1875,57.792518,18.6863574981689,2.85764122009277,615813.6875,12671.33208316
ZMB,Zambia,55459.12109375,17.351708,5.0329909324646,2.64429807662964,34865.01953125,3196.17648555116
ZWE,Zimbabwe,43420.8984375,14.438802,6.71495199203491,2.68062973022461,46198.44140625,3007.23691879008
